"","Metabolic pathways","Biosynthesis of secondary metabolites","Carbon metabolism","Ribosome","Biosynthesis of amino acids","Oxidative phosphorylation","Glycolysis / Gluconeogenesis","Carbon fixation in photosynthetic organisms","Pyruvate metabolism","Spliceosome","Protein processing in endoplasmic reticulum","Glutathione metabolism","Starch and sucrose metabolism","Glyoxylate and dicarboxylate metabolism","Photosynthesis","Amino sugar and nucleotide sugar metabolism","Phenylpropanoid biosynthesis","RNA transport","Citrate cycle (TCA cycle)","Pentose phosphate pathway","Purine metabolism","Endocytosis","Proteasome","Fructose and mannose metabolism","Aminoacyl-tRNA biosynthesis","Alanine, aspartate and glutamate metabolism","Glycine, serine and threonine metabolism","Cysteine and methionine metabolism","Peroxisome","Ascorbate and aldarate metabolism","Phagosome","Porphyrin and chlorophyll metabolism","mRNA surveillance pathway","RNA degradation","Plant-pathogen interaction","Fatty acid degradation","alpha-Linolenic acid metabolism","2-Oxocarboxylic acid metabolism","MAPK signaling pathway - plant","Valine, leucine and isoleucine degradation","Glycerolipid metabolism","Galactose metabolism","Phenylalanine, tyrosine and tryptophan biosynthesis","Fatty acid metabolism","Arginine biosynthesis","Tryptophan metabolism","Cyanoamino acid metabolism","Ubiquinone and other terpenoid-quinone biosynthesis","Pyrimidine metabolism","Tyrosine metabolism","Protein export","Arginine and proline metabolism","Histidine metabolism","beta-Alanine metabolism","Glycerophospholipid metabolism","Photosynthesis - antenna proteins","Lysine degradation","Inositol phosphate metabolism","Propanoate metabolism","Butanoate metabolism","Terpenoid backbone biosynthesis","Nitrogen metabolism","Lysine biosynthesis","Phenylalanine metabolism","Riboflavin metabolism","Sulfur metabolism","Ribosome biogenesis in eukaryotes","Nucleotide excision repair","Plant hormone signal transduction","Ubiquitin mediated proteolysis","SNARE interactions in vesicular transport","Fatty acid biosynthesis","Other glycan degradation","Various types of N-glycan biosynthesis","Arachidonic acid metabolism","Sphingolipid metabolism","One carbon pool by folate","Thiamine metabolism","Biosynthesis of unsaturated fatty acids","DNA replication","Phosphatidylinositol signaling system","Pentose and glucuronate interconversions","Cutin, suberine and wax biosynthesis","Monobactam biosynthesis","N-Glycan biosynthesis","Linoleic acid metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series","Vitamin B6 metabolism","Pantothenate and CoA biosynthesis","Folate biosynthesis","Carotenoid biosynthesis","Flavonoid biosynthesis","Mismatch repair","Caffeine metabolism","Valine, leucine and isoleucine biosynthesis","Selenocompound metabolism","Glycosaminoglycan degradation","Glycosphingolipid biosynthesis - ganglio series","Nicotinate and nicotinamide metabolism","Monoterpenoid biosynthesis","Limonene and pinene degradation","Isoquinoline alkaloid biosynthesis","Tropane, piperidine and pyridine alkaloid biosynthesis","Base excision repair","Circadian rhythm - plant","Fatty acid elongation","Taurine and hypotaurine metabolism","Ether lipid metabolism","C5-Branched dibasic acid metabolism","Biotin metabolism","Diterpenoid biosynthesis","Stilbenoid, diarylheptanoid and gingerol biosynthesis","Glucosinolate biosynthesis","ABC transporters","Homologous recombination","Sulfur relay system","Autophagy - other","AGE-RAGE signaling pathway in diabetic complications"
"Means.2Moderate AllData.txt",0.2957545209,-0.593690203,-0.725214402,-2.366582288,-0.338208554,0.7103405119,-0.147258145,-0.176851791,-0.222861844,-0.048799366,-0.399906508,0.068402701,-0.166525455,-0.321199757,0.371459627,0.014862404,0.165115383,0.058304587,-0.341793977,-0.113420802,0.083003234,0.26837375,-0.175819025,0.074743718,0.053758126,0.072322846,0.120401492,0.148572002,-0.044239074,-0.212886667,0.04248828,-0.613874935,-0.076926094,0.05728803,-0.473414018,0.080290727,0.097880883,-0.065854458,-0.058607679,0.025703645,-0.013582076,-0.190430927,-0.159224172,-0.090725898,-0.110198978,0.020224703,-0.016324522,0.393590159,-0.022489136,0.029323397,-0.157007789,0.012442676,-0.033365286,0.052859415,0.106671091,0.33934889,0.019630165,0.141367997,0.014542986,-0.053771378,0.058055822,-0.191670162,0.043910941,0.017867511,0.118575661,-0.115163658,0.067728057,0.012550868,0.190727704,-0.050164072,-0.020762222,-0.001552585,0.078062284,0.106652197,-0.030691843,-0.082845549,0.069114347,-0.288887351,-0.104877111,-0.00597133100000001,-0.020374498,0.032364699,-0.002983461,0.071096169,0.03342611,-0.078623381,-0.00940766700000001,0.018088808,0.068531992,-0.067862706,0.009008448,0.124702863,0.01753448,0.077782054,-0.019697945,0.009218297,0.059881149,0.059881149,0.059849345,0.013691556,0.005767562,-0.025846186,-0.025846186,-0.024207367,0.046643945,0.013303567,0.028901498,0.027723442,-0.047956521,-0.044045114,0.038368652,0.137167469,-0.047956521,0.031341381,-0.001013903,-0.048262045,0.011164261,0.055812256
"Means.3Extreme AllData.txt",1.53991913443,-2.117012121,0.44166426,-1.299767127,-0.036140958,0.70011564943,1.685744075,-0.087526964,0.971002559,0.965772158,1.90333159,0.514312276,0.364730414,-0.476154832,-0.196224081,0.407364391,-0.168648061,0.3862733,0.246353502,0.074697588,0.105154252,1.378674064,0.501249727,-0.056647804,-0.129420492,-0.514121596,0.00353574900000002,0.079674065,0.409550714,0.592558949,0.292571457,-1.263010249,0.130562627,0.49249909,0.196555084,0.743861562,-0.648531725,0.336113442,0.541864466,0.677757151,0.468050915,0.138176899,-0.268711762,0.038102557,-0.130783927,0.504443576,-0.162874048,0.638903532,0.343634371,0.663118998,-0.049338556,0.923230056,0.342718868,0.556926361,0.010311295,0.34724804,0.453040416,0.423000935,0.162430644,0.351500836,-0.484057378,-0.471190155,-0.038377818,-0.125586385,0.272434984,-0.251478127,0.048499432,0.063560239,0.108276086,0.227052322,-0.000777838000000005,0.027937056,0.065160665,-0.008002045,0.340239023,0.097666517,0.014782048,-0.164640854,-0.041674473,-0.114570537,-0.054910906,0.035869765,0.670149616,0.078426032,-0.031489715,-0.212269063,0.090643059,0.045627504,0.243341991,-0.217406133,-0.02765293,-0.327125404,-0.039101219,0.307563101,0.010868553,-0.002394717,-0.06421231,-0.06421231,-0.002318344,-0.093945302,0.106839836,-0.001145436,-0.001145436,-0.013512002,-0.322632116,-0.020639059,-0.03760279,-0.046425573,-0.035071144,-0.053300903,-0.078070835,0.126367411,-0.035071144,0.01544641,-0.002091758,0.105731837,0.048729143,0.067281386
"Means.4Recovery AllData.txt",1.7552528237,-0.8945597333,-0.03517635,-1.724595706,0.0274382527,0.736240227,0.687637571,0.039918461,0.215852543,-0.122861142,-0.508129897,-0.230896158,0.06080839,-0.196952603,0.803091517,0.27997169,0.174405273,0.103312719,0.034056655,-0.137017595,0.101957698,0.195047168,-0.126500889,0.021430178,-0.096515045,0.054046751,0.02754645,-0.00925006,-0.38376868,-0.124832896,0.15104126,-0.33440349,0.024918776,0.113024517,-0.112985314,-0.064504228,-1.126490245,0.055394745,0.402218538,0.043531966,0.339790786,-0.096189312,-0.215863451,-0.345050833,-0.007440165,0.284739454,-0.024200797,0.115753338,0.16355295,0.028925973,-0.126139883,0.250058904,0.117298971,0.197344565,0.148440169,0.494377514,0.159090899,0.19303185,0.00477033199999999,-0.005924394,-0.087619847,-0.087699231,0.0699800437,-0.163677938,0.153893115,-0.088444879,0.137528683,0.019541739,0.28864539,0.086370889,-0.143023569,-0.081444695,0.078451289,0.043044424,0.048358279,0.069317508,0.072962616,-0.025690615,-0.257016541,-0.028887109,0.013324965,-0.023715865,0.267562298,0.086689314,-0.012272717,-0.30326731,0.095094139,0.012968404,0.174558044,-0.06402974,0.08181162,-0.154081846,-0.012525859,0.081119153,0.018841427,-0.060136721,0.016390434,0.016390434,0.009560795,0.013936585,0.078296394,-0.01888902,-0.01888902,-0.050109348,-0.075828335,0.001464463,-0.022236989,0.004985385,-0.032734175,-0.068693254,-0.027790523,0.03975942,-0.032734175,0.027265011,-0.010792288,0.018182854,-0.02511865,0.061109237
"Means.5ControlA AllData.txt",-2.32439091969,-2.23257199149,-1.19414293415,-1.689885554,-0.8903593263,0.633269771,-0.50178191015,-0.5586400883,-0.02846361185,0.050934066,0.190289077,0.0732792658,-0.417659486,-0.44533788885,-0.5510679575,-0.365281434,-0.062430691,0.21273676743,-0.01046796,-0.448867467,-0.201331102,0.140936109,0.093240261,-0.194168547,-0.21821332834,0.135107482,-0.090477742,0.130836611,-0.199962214,-0.171822509,0.189870301,-0.59020796834,0.02199956643,-0.09304593557,-0.178715785,-0.030572283,-0.238243342,-0.065618086,-0.175865414,0.00799958899999999,-0.103860513,-0.244258168,-0.146111086,-0.126140824,-0.097759369,-0.122801347,-0.063689052,0.268179997,-0.065300266,-0.011694769,0.059927817,-0.023340121,-0.091089609,0.117051775,0.089659862,0.101769034,0.019151153,-0.008482393,0.053258178,0.11274584015,-0.006674365,-0.160273242,-0.033394227,-0.012801427,0.062592696,-0.159621825,0.103449651,0.127091441,0.252680182,0.097080007,0.03311515,-0.026020089,0.022218798,0.103489339,0.004904236,-0.098188081,-0.061762879,-0.199599192,-0.08776475,0.004915516,-0.022370654,0.013369527,0.005499656,0.009597185,0.069679579,-0.08509324,-0.054854695,0.011687863,0.086765797,-0.059800434,0.011300657,0.076649536,0.076204824,0.014814272,-0.012058783,-0.008752275,0.023162778,0.023162778,0.049199877,0.068356453,0.017463981,0.018000048,0.018000048,0.062520587,0.066240594,0.008648165,0.08535897,0.022938906,-0.04351083,-0.065195643,0.024015239,0.042753014,-0.04351083,0.022882291,0.029947867,0.010541989,-0.048050764,0.027013354
"Means.2Moderate1 black.txt",0.312986839,0.145040096,0.046612643,0,0.080774489,0.15777581,0.046612643,0,0.046612643,0.02048814,0,0,0.029532193,0,0,0.010170933,0.029532193,0,0.006231857,0,0.040380786,0.001194386,0,0,-0.024645268,0,0,0,0,0.010170933,0,0,0,0,0.018661195,0,0,0,0.045910787,0,0,0,0.010848303,0,0,0,0.029532193,0,0,0,0.001291214,0,0.0295454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032197184,0.045910787,0.007955611,0,0,0,0,0,0,0,0,0,0.032197184,0,0.010170933,0,0,0,0,0,0,0,0,0.028501557,0,0.032197184,0,0,0,0,0,0,0,0,0,0,-0.010558566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.3Extreme1 black.txt",0.05987707043,-0.00125807,0.022697116,0,0.002192557,0.07426154343,0.022697116,0,0.022697116,0.022976009,0,0,-0.006543815,0,0,-0.013126403,-0.006543815,0,0.011876355,0,0.010820761,0.016857986,0,0,-0.017158255,0,0,0,0,-0.013126403,0,0,0,0,-0.015214237,0,0,0,0.021641668,0,0,0,-0.018408408,0,0,0,-0.006543815,0,0,0,0.011485651,0,0.009780204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009295504,0.021641668,0.007524872,0,0,0,0,0,0,0,0,0,0.009295504,0,-0.013126403,0,0,0,0,0,0,0,0,-0.008783167,0,0.009295504,0,0,0,0,0,0,0,0,0,0,0.032792963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.4Recovery1 black.txt",0.131073906,0.11434163,0.028932684,0,0.045186764,0.06064293,0.028932684,0,0.028932684,-0.006294379,0,0,0.012299305,0,0,-0.043910654,0.012299305,0,0.0129654,0,0.015967284,0.010119776,0,0,-0.026294879,0,0,0,0,-0.043910654,0,0,0,0,-0.037821109,0,0,0,0.045840623,0,0,0,0.00122597,0,0,0,0.012299305,0,0,0,-0.009881857,0,0.02799351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014912971,0.045840623,0.001069473,0,0,0,0,0,0,0,0,0,0.014912971,0,-0.043910654,0,0,0,0,0,0,0,0,0.043890161,0,0.014912971,0,0,0,0,0,0,0,0,0,0,-0.033462806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.5ControlA1 black.txt",0.269596433,0.11312191,0.031095567,0,0.017506329,0.157961006,0.031095567,0,0.031095567,0.028558702,0,0,0.046316933,0,0,-0.001486483,0.046316933,0,0.025510362,0,0.005585205,0.027144515,0,0,-0.02304925,0,0,0,0,-0.001486483,0,0,0,0,0.043814397,0,0,0,0.069703644,0,0,0,-0.010958116,0,0,0,0.046316933,0,0,0,0.04799295,0,0.02287924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042662182,0.069703644,0.009478534,0,0,0,0,0,0,0,0,0,0.042662182,0,-0.001486483,0,0,0,0,0,0,0,0,0.023788286,0,0.042662182,0,0,0,0,0,0,0,0,0,0,0.058925812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.2Moderate2 blue.txt",0.539410653,0.668946431,-0.053299538,0.022868663,0.118524843,0.052977294,-0.034196862,0.023805121,0.009863738,-0.101841122,-0.016794357,0.030622411,-0.187100541,-0.006338739,0,0.064744363,0.372639151,0.034330942,0.004567906,-0.028302725,-0.027614118,0.047953021,-0.007244827,-0.038788732,0,0.137298575,0.058332645,0.162979157,-0.028508836,0,-0.002967814,-0.043022188,0.034330942,0.034330942,-0.065877923,-0.028508836,0.21640675,0,-0.059441324,0.058332645,0,-0.013344938,0.003448081,-0.052627121,0.025144906,0,-0.067128903,0.184449564,0,-0.003124601,-0.023243007,0,0,0.000392662000000002,0.027723442,0,0,0.004386132,-0.028508836,0.028901498,0.011931984,0.025144906,0,0.162705597,0,-0.024408767,0,-0.013648801,0.061323245,0,0.024748398,-0.024118285,0.059881149,0.085650544,0,-0.013344938,0,0,-0.028508836,-0.013648801,0.004386132,0,-0.043992732,0,0.012424457,0,0.073226087,0,0,0,0,-0.012464606,-0.013648801,0,0,0,0.059881149,0.059881149,0.046557356,0.008835833,0,-0.003124601,-0.003124601,-0.013648801,0.03192421,0,0.028901498,0.027723442,0,0,0.038368652,0,0,0,0,0,0,0
"Means.3Extreme2 blue.txt",-4.218095615,-3.333391734,-0.368272755,-0.094207266,-0.25607673,-0.202232657,-0.242347048,-0.153426479,-0.211307857,-0.211843257,-0.081672889,-0.392370362,-0.446111953,-0.060828559,0,-0.243590471,-0.543982602,-0.041875652,-0.174597934,-0.07904952,-0.304253126,-0.132331966,0.005834657,-0.147722612,0,-0.432208408,-0.006314939,-0.127714048,-0.02966196,0,-0.281977804,-0.328632585,-0.041875652,-0.041875652,-0.107829729,-0.02966196,-0.545310643,0,-0.08277312,-0.006314939,0,-0.08769998,-0.087601282,-0.091726921,-0.070479959,0,-0.369800614,-0.112907457,0,-0.020470815,-0.004621901,0,0,-0.06726475,-0.046425573,0,0,-0.034454101,-0.02966196,-0.03760279,-0.008978907,-0.070479959,0,-0.366917771,0,-0.079895709,0,-0.046304965,0.043484397,0,-0.085157375,-0.062064961,-0.06421231,0.038356943,0,-0.08769998,0,0,-0.02966196,-0.046304965,-0.034454101,0,-0.068260342,0,0.014869273,0,0.02348767,0,0,0,0,-0.453492815,-0.046304965,0,0,0,-0.06421231,-0.06421231,-0.011330406,-0.093593542,0,-0.020470815,-0.020470815,-0.046304965,-0.311968695,0,-0.03760279,-0.046425573,0,0,-0.078070835,0,0,0,0,0,0,0
"Means.4Recovery2 blue.txt",-1.463528988,-1.457827533,-0.110390297,-0.067071689,-0.051753121,0.0619949,-0.007711307,0.00444701,-0.010191976,-0.138817793,-0.045060425,-0.281520987,-0.397557351,-0.056063146,0,-0.080335322,-0.015361881,-0.002026972,0.011023246,-0.043536956,-0.108405395,-0.016564642,-0.020929028,-0.090848992,0,-0.039077439,0.016868929,-0.02618639,-0.050889067,0,-0.050524312,-0.083596339,-0.002026972,-0.002026972,-0.056768103,-0.050889067,-0.580102897,0,-0.034624677,0.016868929,0,-0.038926707,-0.020711818,-0.083269657,0.01718903,0,-0.107570516,-0.003356291,0,0.009168136,-0.036578572,0,0,-0.073126056,0.004985385,0,0,-0.011982224,-0.050889067,-0.022236989,-0.024586427,0.01718903,0,-0.009097226,0,-0.039543759,0,-0.016646542,0.029951959,0,-0.030071693,-0.03238059,0.016390434,0.059022693,0,-0.038926707,0,0,-0.050889067,-0.016646542,-0.011982224,0,-0.085929989,0,0.003705552,0,0.055317141,0,0,0,0,-0.193841266,-0.016646542,0,0,0,0.016390434,0.016390434,0.002745036,-0.060691696,0,0.009168136,0.009168136,-0.016646542,-0.11175785,0,-0.022236989,0.004985385,0,0,-0.027790523,0,0,0,0,0,0,0
"Means.5ControlA2 blue.txt",1.43822389,0.746629364,0.19878336,0.061165955,0.100958102,0.161997076,0.067134447,0.185992869,0.189014359,0.063338832,0.084523952,0.362309261,-0.00509876500000001,0.123123598,0,0.005490492,0.211433833,-2.86057e-06,0.132117915,-0.008625888,-0.008489797,0.052583951,0.053874632,-0.006414862,0,0.302621663,0.065740365,0.145092121,-0.007763842,0,0.05048937,-0.0211513,-2.86057e-06,-2.86057e-06,0.003348262,-0.007763842,-0.018886905,0,-0.003174914,0.065740365,0,-0.010646982,0.037992505,-0.013059303,0.076480395,0,0.035691025,0.099870041,0,0.040404422,0.016960142,0,0,0.077595128,0.022938906,0,0,-0.005356106,-0.007763842,0.08535897,0.035724767,0.076480395,0,0.089936617,0,-0.014285553,0,0.003594775,0.090680084,0,0.070272458,-0.005295461,0.023162778,0.065196443,0,-0.010646982,0,0,-0.007763842,0.003594775,-0.005356106,0,0.014775493,0,0.031386683,0,0.03380976,0,0,0,0,0.033896522,0.003594775,0,0,0,0.023162778,0.023162778,0.021797075,0.011522489,0,0.040404422,0.040404422,0.003594775,0.044764376,0,0.08535897,0.022938906,0,0,0.024015239,0,0,0,0,0,0,0
"Means.2Moderate3 brown.txt",-0.860635292,-0.437508561,0.01786511,-0.102465083,-0.116584189,0.00889761,0.00830172000000001,-0.058949755,0.000958818,0,0,-0.003443257,-0.000124231000000001,0.091666295,-0.112968968,-0.001273763,0,0,0.000958818,-0.039446126,-0.00558925,0,0,-0.041486763,-0.079471142,-0.004185675,0.066258849,-0.015408691,0.043826193,-0.026126755,0,-0.439095464,0,0,-0.021620191,0,0,0.003250718,0,0,-0.010257462,-0.006868347,-0.017094013,0,-0.010969278,0,0,0,0.007147087,0,-0.011088187,0,0,0,-0.016247592,0,0,0,0,0,-0.03088439,-0.117191707,-0.027185228,0,0,-0.118974512,0,0,0,0,0,0,0,0,0,0,0,-0.226336775,0,0,-0.016247592,0,0,0,0,0,0,0,0,-0.022492016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.3Extreme3 brown.txt",-4.070870697,-2.761084045,-1.064679749,-0.24701494,-0.61994541,-0.051838931,-0.34003945,-0.695274095,-0.131298631,0,0,-0.156102,-0.076484648,-0.662223763,-0.46319095,-0.136594045,0,0,-0.131298631,-0.240186936,-0.093330214,0,0,-0.206068139,-0.308874795,-0.255199609,-0.345982057,-0.162517782,-0.138692485,-0.096487473,0,-0.792399312,0,0,-0.055310061,0,0,-0.087007802,0,0,-0.148608098,-0.031590787,-0.094193866,0,-0.164128585,0,0,0,-0.005848572,0,-0.037933487,0,0,0,-0.089608021,0,0,0,0,0,-0.447674359,-0.286923299,-0.11680385,0,0,-0.265310848,0,0,0,0,0,0,0,0,0,0,0,-0.280478612,0,0,-0.089608021,0,0,0,0,0,0,0,0,-0.093497238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
