"","Metabolic pathways","Biosynthesis of secondary metabolites","Carbon metabolism","Ribosome","Biosynthesis of amino acids","Oxidative phosphorylation","Glycolysis / Gluconeogenesis","Carbon fixation in photosynthetic organisms","Pyruvate metabolism","Spliceosome","Protein processing in endoplasmic reticulum","Glutathione metabolism","Starch and sucrose metabolism","Glyoxylate and dicarboxylate metabolism","Photosynthesis","Amino sugar and nucleotide sugar metabolism","Phenylpropanoid biosynthesis","RNA transport","Citrate cycle (TCA cycle)","Pentose phosphate pathway","Purine metabolism","Endocytosis","Proteasome","Fructose and mannose metabolism","Aminoacyl-tRNA biosynthesis","Alanine, aspartate and glutamate metabolism","Glycine, serine and threonine metabolism","Cysteine and methionine metabolism","Peroxisome","Ascorbate and aldarate metabolism","Phagosome","Porphyrin and chlorophyll metabolism","mRNA surveillance pathway","RNA degradation","Plant-pathogen interaction","Fatty acid degradation","alpha-Linolenic acid metabolism","2-Oxocarboxylic acid metabolism","MAPK signaling pathway - plant","Valine, leucine and isoleucine degradation","Glycerolipid metabolism","Galactose metabolism","Phenylalanine, tyrosine and tryptophan biosynthesis","Fatty acid metabolism","Arginine biosynthesis","Tryptophan metabolism","Cyanoamino acid metabolism","Ubiquinone and other terpenoid-quinone biosynthesis","Pyrimidine metabolism","Tyrosine metabolism","Protein export","Arginine and proline metabolism","Histidine metabolism","beta-Alanine metabolism","Glycerophospholipid metabolism","Photosynthesis - antenna proteins","Lysine degradation","Inositol phosphate metabolism","Propanoate metabolism","Butanoate metabolism","Terpenoid backbone biosynthesis","Nitrogen metabolism","Lysine biosynthesis","Phenylalanine metabolism","Riboflavin metabolism","Sulfur metabolism","Ribosome biogenesis in eukaryotes","Nucleotide excision repair","Plant hormone signal transduction","Ubiquitin mediated proteolysis","SNARE interactions in vesicular transport","Fatty acid biosynthesis","Other glycan degradation","Various types of N-glycan biosynthesis","Arachidonic acid metabolism","Sphingolipid metabolism","One carbon pool by folate","Thiamine metabolism","Biosynthesis of unsaturated fatty acids","DNA replication","Phosphatidylinositol signaling system","Pentose and glucuronate interconversions","Cutin, suberine and wax biosynthesis","Monobactam biosynthesis","N-Glycan biosynthesis","Linoleic acid metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series","Vitamin B6 metabolism","Pantothenate and CoA biosynthesis","Folate biosynthesis","Carotenoid biosynthesis","Flavonoid biosynthesis","Mismatch repair","Caffeine metabolism","Valine, leucine and isoleucine biosynthesis","Selenocompound metabolism","Glycosaminoglycan degradation","Glycosphingolipid biosynthesis - ganglio series","Nicotinate and nicotinamide metabolism","Monoterpenoid biosynthesis","Limonene and pinene degradation","Isoquinoline alkaloid biosynthesis","Tropane, piperidine and pyridine alkaloid biosynthesis","Base excision repair","Circadian rhythm - plant","Fatty acid elongation","Taurine and hypotaurine metabolism","Ether lipid metabolism","C5-Branched dibasic acid metabolism","Biotin metabolism","Diterpenoid biosynthesis","Stilbenoid, diarylheptanoid and gingerol biosynthesis","Glucosinolate biosynthesis","ABC transporters","Homologous recombination","Sulfur relay system","Autophagy - other","AGE-RAGE signaling pathway in diabetic complications"
"Means.4Recovery3 brown.txt",-0.7043629783,-0.4628634173,-0.178707013,-0.068159889,-0.1706425443,-0.03543971,0.03869444,-0.094592188,-0.000821967999999999,0,0,0.012920233,-0.018492241,-0.122553487,-0.073458259,-0.014604631,0,0,-0.000821967999999999,-0.034876778,-0.047592561,0,0,-0.042188492,-0.080329742,-0.097730021,-0.072039826,-0.018004198,-0.044593868,-0.057825307,0,-0.181923873,0,0,-0.034068215,0,0,-0.044988089,0,0,0.015816644,-0.023440345,-0.03329377,0,-0.069576666,0,0,0,0.01156135,0,-0.014137477,0,0,0,0.027061033,0,0,0,0,0,-0.126659359,-0.113689754,-0.0167092703,0,0,-0.085722956,0,0,0,0,0,0,0,0,0,0,0,-0.0526541,0,0,0.027061033,0,0,0,0,0,0,0,0,-0.015879094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.5ControlA3 brown.txt",-1.61373161,-1.088067308,-0.448446778,-0.074721437,-0.324054725,-0.009341995,-0.138695053,-0.327101946,-0.045493883,0,0,-0.058345343,-0.036942929,-0.227670365,-0.113208839,-0.046481057,0,0,-0.045493883,-0.118142606,-0.046693555,0,0,-0.082439104,-0.164502987,-0.114201305,-0.093488811,-0.083004254,-0.048153909,-0.056591026,0,-0.405098752,0,0,-0.033808748,0,0,-0.045761315,0,0,-0.036158461,-0.015205406,-0.039306057,0,-0.086948955,0,0,0,-0.022886696,0,-0.006664662,0,0,0,-0.018660889,0,0,0,0,0,-0.090443935,-0.11018016,-0.042991412,0,0,-0.075375286,0,0,0,0,0,0,0,0,0,0,0,-0.211206454,0,0,-0.018660889,0,0,0,0,0,0,0,0,-0.038244403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.2Moderate4 cyan.txt",0.025677387,0.004618999,0,-0.075076245,0,0,0,0,0,0.039906638,0,0,-0.038464011,0,0,0,-0.015422567,-0.013455498,0,0,0.035204472,-0.013526262,0.016976879,0,0,0,0,0.021058388,0,0,0,0,-0.007410725,0,0,0,0,0,0,0,0.023301105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023301105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.3Extreme4 cyan.txt",0.082527474,0.068338106,0,-0.018576146,0,0,0,0,0,0.068684371,0,0,-0.004866548,0,0,0,-0.001313696,0.04012702,0,0,0.039185658,0.018224554,0.052794688,0,0,0,0,0.014189368,0,0,0,0,0.009198039,0,0,0,0,0,0,0,0.035332692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035332692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.4Recovery4 cyan.txt",0.121590934,0.120782132,0,-0.116604264,0,0,0,0,0,-0.009586629,0,0,-0.033552713,0,0,0,0.06910855,-0.020656705,0,0,0.048385552,-0.010312356,0.004336539,0,0,0,0,0.000808802,0,0,0,0,-0.009288072,0,0,0,0,0,0,0,0.036840743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036840743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.5ControlA4 cyan.txt",0.007825342,0.006398598,0,-0.029340831,0,0,0,0,0,0.026317317,0,0,-0.023570774,0,0,0,0.018994445,0.003763148,0,0,0.014893903,0.016490349,0.023270558,0,0,0,0,0.001426744,0,0,0,0,-0.004271822,0,0,0,0,0,0,0,-0.003918976,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003918976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.2Moderate5 green.txt",0.132230615,-0.098097558,-0.059637079,-0.107946907,-0.056962385,0.078626284,-0.045145382,0,-0.047765736,-0.004666278,-0.007029114,0.089816397,0,0,-0.004747423,-0.055849657,0,0.020591077,-0.047765736,0,0,0.000114917,-0.008542819,0.009603072,0,0,0,0,-0.009959636,0,0,0,-0.015042993,-0.007026946,-0.07171939,-0.011871343,0,0,0,0,0,0,-0.056962385,0,0,0,0,0,0,-0.011871343,0,0,0,0,0,0.057682012,0,0,0,0,0,0,0,0,0.008898834,0,0,-0.014323619,0,0.00026139,0,0,0,0,0,0,0,0,0,-0.001013903,0,0,0,0,0,0,0,0,0,0,0,0,-0.001013903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001013903,0,0,0
"Means.3Extreme5 green.txt",0.427059747,0.01810641,0.002751446,-0.005957624,-0.017156724,0.133377005,-0.014987829,0,0.004749003,0.032162856,0.115709591,0.144864917,0,0,0.011828344,-0.003637771,0,0.132757768,0.004749003,0,0,0.030764546,0.122731687,0.00727198,0,0,0,0,0.039965037,0,0,0,0.054813071,0.064426603,-0.021888797,-0.001997557,0,0,0,0,0,0,-0.017156724,0,0,0,0,0,0,-0.001997557,0,0,0,0,0,0.109949066,0,0,0,0,0,0,0,0,0.025239708,0,0,0.019327381,0,0.033593164,0,0,0,0,0,0,0,0,0,-0.002091758,0,0,0,0,0,0,0,0,0,0,0,0,-0.002091758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002091758,0,0,0
"Means.4Recovery5 green.txt",0.115681728,-0.036776805,-0.025782763,-0.078827592,-0.045742271,0.00737554,-0.014486074,0,-0.015826448,-0.046464737,0.00726133,0.004011354,0,0,0.026655484,-0.0925015,0,0.069911971,-0.015826448,0,0,-0.009441737,0.022519632,0.015272396,0,0,0,0,-0.014363929,0,0,0,0.032065708,0.033377587,-0.090585551,-0.009956315,0,0,0,0,0,0,-0.045742271,0,0,0,0,0,0,-0.009956315,0,0,0,0,0,0.127703174,0,0,0,0,0,0,0,0,0.019475833,0,0,-0.01363054,0,0.003262821,0,0,0,0,0,0,0,0,0,-0.010792288,0,0,0,0,0,0,0,0,0,0,0,0,-0.010792288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010792288,0,0,0
"Means.5ControlA5 green.txt",0.014457649,-0.011085729,-0.026381743,-0.06699689,-0.030210636,0.029084422,-0.026268868,0,-0.020551734,0.00446533,0.065190431,0.014248061,0,0,-0.014383291,0.041655898,0,0.136060545,-0.020551734,0,0,0.020569122,0.02145121,0.029809882,0,0,0,0,-0.008580969,0,0,0,0.042864959,0.027940003,0.006473835,-0.005830009,0,0,0,0,0,0,-0.030210636,0,0,0,0,0,0,-0.005830009,0,0,0,0,0,-0.006232132,0,0,0,0,0,0,0,0,0.015696768,0,0,0.028258222,0,0.021786492,0,0,0,0,0,0,0,0,0,0.029947867,0,0,0,0,0,0,0,0,0,0,0,0,0.029947867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029947867,0,0,0
"Means.2Moderate6 greenyellow.txt",0.418151017,0.152163371,0.010508718,0.020307042,0,0,0,0,0.018160684,0,0,0.001393273,-0.008822499,0,0.085525437,0,0.156692016,-0.001894224,0.010508718,0,0,0,0,0,0,0,0,0,0,0,-0.000386784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006214864,0,0,0.026134344,0,0,0,0,0,0.134773908,0,0,0.010508718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.3Extreme6 greenyellow.txt",0.412146637,0.159049009,0.014463099,0.005984173,0,0,0,0,0.033780916,0,0,0.001209644,-0.012950523,0,0.040669424,0,0.163664771,0.047380423,0.014463099,0,0,0,0,0,0,0,0,0,0,0,0.041400696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006128338,0,0,0.050938895,0,0,0,0,0,0.126498749,0,0,0.014463099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.4Recovery6 greenyellow.txt",0.475309795,0.213689028,0.005588326,0.013430137,0,0,0,0,0.040107757,0,0,-0.008043141,0.009499149,0,0.07602388,0,0.217405686,0.1012239,0.005588326,0,0,0,0,0,0,0,0,0,0,0,0.042250663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018804133,0,0,0.031954348,0,0,0,0,0,0.121577923,0,0,0.005588326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.5ControlA6 greenyellow.txt",-0.094102123,-0.129081617,0.010406135,-0.012131088,0,0,0,0,-0.000495728,0,0,0.005954744,-0.061842856,0,0.005932034,0,-0.126906046,-0.012675497,0.010406135,0,0,0,0,0,0,0,0,0,0,0,0.022498963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04926115,0,0,0.023343612,0,0,0,0,0,0.000244832,0,0,0.010406135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.2Moderate7 grey60.txt",-0.445062154,-0.44098778,-0.07738756,0.007216098,-0.07738756,0,0,-0.07738756,0,-0.023507068,-0.039434807,0,-0.151268366,0,0,0,-0.137348106,0,0,-0.07738756,0,-0.018057631,0,0,0,0,-0.004074374,0,-0.060542155,0,0,0,0,0,0,-0.060542155,-0.074983748,0,0,-0.060542155,0,-0.107039137,0,-0.060542155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137348106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060542155,0,0,0,0,0,0,-0.014441593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.3Extreme7 grey60.txt",-0.567070139,-0.571228417,-0.132660356,0.006479066,-0.132660356,0,0,-0.132660356,0,0.020285693,-0.02883048,0,-0.086098092,0,0,0,-0.067966812,0,0,-0.132660356,0,-0.011377018,0,0,0,0,0.004158278,0,-0.121965354,0,0,0,0,0,0,-0.121965354,-0.284503157,0,0,-0.121965354,0,-0.075435272,0,-0.121965354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.067966812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121965354,0,0,0,0,0,0,-0.162537803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.4Recovery7 grey60.txt",-1.009806254,-0.963392757,-0.130839532,-0.022030961,-0.130839532,0,0,-0.130839532,0,-0.089987845,-0.080097402,0,-0.208400828,0,0,0,-0.132409596,0,0,-0.130839532,0,-0.064725122,0,0,0,0,-0.046413497,0,-0.175545935,0,0,0,0,0,0,-0.175545935,-0.491742801,0,0,-0.175545935,0,-0.127179423,0,-0.175545935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132409596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.175545935,0,0,0,0,0,0,-0.316196866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.5ControlA7 grey60.txt",-0.309734645,-0.327574783,-0.087490547,0.028571793,-0.087490547,0,0,-0.087490547,0,0.015814841,-0.010363453,0,-0.081669921,0,0,0,-0.068580138,0,0,-0.087490547,0,-0.012404453,0,0,0,0,0.017840138,0,-0.051965827,0,0,0,0,0,0,-0.051965827,-0.089834177,0,0,-0.051965827,0,-0.043761914,0,-0.051965827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.068580138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051965827,0,0,0,0,0,0,-0.03786835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.2Moderate8 lightcyan.txt",0.171288066,0.123190885,0.036373351,0,0.041015101,0,0.036373351,0.036373351,0,0.007888251,0,0,0,0,0,0,0,0.007888251,0,0,0.018914675,0,0,0.036373351,0,0.026774769,0.00786559,0.00786559,0,0.010429035,0,0,0.028928336,0,0,0,0,0.00786559,0.017768302,0,0,0,0,0,-0.00322384,0.018098572,0,0,0.029998609,0,0,0,0,0,0,0,0,0.036373351,0,0,0.052832074,0,0.00786559,0,0,0,0,0,0.017768302,0,0.009760692,0,0,0,0,0,0,0,0,0,0,0,0,0.00786559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031341381,0,0,0,0
"Means.3Extreme8 lightcyan.txt",-0.113548573,-0.045457917,-0.017171154,0,-0.020114897,0,-0.017171154,-0.017171154,0,-0.002549902,0,0,0,0,0,0,0,-0.002549902,0,0,0.013069578,0,0,-0.017171154,0,-0.018025825,0.000476378,0.000476378,0,0.009690302,0,0,0.013389962,0,0,0,0,0.000476378,-0.011600669,0,0,0,0,0,-0.003420121,-0.053484952,0,0,-0.014605704,0,0,0,0,0,0,0,0,-0.017171154,0,0,-0.0481029,0,0.000476378,0,0,0,0,0,-0.011600669,0,0.005983953,0,0,0,0,0,0,0,0,0,0,0,0,0.000476378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01544641,0,0,0,0
"Means.4Recovery8 lightcyan.txt",0.236735568,0.166857133,0.021074926,0,0.075714936,0,0.021074926,0.021074926,0,0.011682646,0,0,0,0,0,0,0,0.011682646,0,0,0.023627012,0,0,0.021074926,0,0.083819251,0.003822906,0.003822906,0,0.034875847,0,0,0.024333676,0,0,0,0,0.003822906,0.018902448,0,0,0,0,0,0.050817104,0.036876288,0,0,0.033002147,0,0,0,0,0,0,0,0,0.021074926,0,0,0.032639338,0,0.003822906,0,0,0,0,0,0.018902448,0,0.005336026,0,0,0,0,0,0,0,0,0,0,0,0,0.003822906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027265011,0,0,0,0
"Means.5ControlA8 lightcyan.txt",0.04042804,0.021065204,-0.002951221,0,-0.006038803,0,-0.002951221,-0.002951221,0,0.012015435,0,0,0,0,0,0,0,0.012015435,0,0,0.01212033,0,0,-0.002951221,0,0.014899299,-0.006731683,-0.006731683,0,-0.00947381,0,0,0.017586789,0,0,0,0,-0.006731683,0.010184013,0,0,0,0,0,0.003644101,0.008107638,0,0,0.011255198,0,0,0,0,0,0,0,0,-0.002951221,0,0,0.024457487,0,-0.006731683,0,0,0,0,0,0.010184013,0,0.008178425,0,0,0,0,0,0,0,0,0,0,0,0,-0.006731683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022882291,0,0,0,0
"Means.2Moderate9 lightgreen.txt",-0.181997652,-0.153800695,-0.028196957,-0.538032595,-0.047956521,0,0,0,0,0,-0.026680948,0,0,0,0,-0.067582887,0,-0.029300016,-0.038261287,0,0,0,0,0,0,0,0,0,0,-0.067582887,-0.026680948,0,0,0,0,0,0,-0.047956521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047956521,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047956521,0,0,0,-0.047956521,0,0,0,0,0
"Means.3Extreme9 lightgreen.txt",-0.061862356,-0.080261356,0.018399,-0.035727506,-0.035071144,0,0,0,0,0,-0.011685345,0,0,0,0,-0.025430076,0,0.013293257,-0.019760136,0,0,0,0,0,0,0,0,0,0,-0.025430076,-0.011685345,0,0,0,0,0,0,-0.035071144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035071144,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035071144,0,0,0,-0.035071144,0,0,0,0,0
"Means.4Recovery9 lightgreen.txt",-0.131272691,-0.117369507,-0.013903184,-0.385452431,-0.032734175,0,0,0,0,0,-0.029699615,0,0,0,0,-0.027633678,0,-0.027786792,-0.057001654,0,0,0,0,0,0,0,0,0,0,-0.027633678,-0.029699615,0,0,0,0,0,0,-0.032734175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032734175,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032734175,0,0,0,-0.032734175,0,0,0,0,0
"Means.5ControlA9 lightgreen.txt",-0.190202309,-0.176149755,-0.014052554,-0.288762736,-0.04351083,0,0,0,0,0,0.00274176,0,0,0,0,-0.086295921,0,-0.014670702,-0.046343004,0,0,0,0,0,0,0,0,0,0,-0.086295921,0.00274176,0,0,0,0,0,0,-0.04351083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04351083,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04351083,0,0,0,-0.04351083,0,0,0,0,0
"Means.2Moderate10 magenta.txt",-0.033305351,-0.107540338,0.042498137,-0.031343897,0,0,0.042498137,0,0.042498137,-0.026512496,0,0.024986417,0.033615538,0,0.04924857,0,-0.19695758,0.085069821,0.042498137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053107451,0.000506923,0,0,0,0,0,0,0,0,0,0.013303567,0,0,0,0,0,0,-0.057718711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015892794,0,0,-0.006650734,0,0,0,0,0,0,0,0,0.013303567,-0.023505811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013303567,0,0,0,0,0,0,0,0,0,0,0,0
"Means.3Extreme10 magenta.txt",-0.467275078,-0.153612216,0.018664374,-0.079586125,0,0,0.018664374,0,0.018664374,-0.067220788,0,-0.096451332,-0.000421925,0,-0.21721153,0,-0.151215606,0.046810014,0.018664374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044366897,-0.024014967,0,0,0,0,0,0,0,0,0,-0.020639059,0,0,0,0,0,0,-0.01519584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00567956,0,0,-0.009704998,0,0,0,0,0,0,0,0,-0.020639059,-0.075469318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020639059,0,0,0,0,0,0,0,0,0,0,0,0
"Means.4Recovery10 magenta.txt",0.224342657,0.090328757,0.055809718,-0.013142695,0,0,0.055809718,0,0.055809718,-0.003517283,0,-0.018393779,0.036762963,0,0.152407679,0,-0.003708387,0.110889651,0.055809718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061990231,-0.011702662,0,0,0,0,0,0,0,0,0,0.001464463,0,0,0,0,0,0,0.029586139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053799371,0,0,0.040061446,0,0,0,0,0,0,0,0,0.001464463,-0.01636125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001464463,0,0,0,0,0,0,0,0,0,0,0,0
"Means.5ControlA10 magenta.txt",-0.270007169,-0.040911691,0.021274578,-0.111444381,0,0,0.021274578,0,0.021274578,-0.133381352,0,-0.028676287,-0.01818214,0,-0.200419191,0,-0.052652294,0.075116061,0.021274578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050466776,-0.047490593,0,0,0,0,0,0,0,0,0,0.008648165,0,0,0,0,0,0,0.04613508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118217,0,0,-0.007598613,0,0,0,0,0,0,0,0,0.008648165,-0.071289308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008648165,0,0,0,0,0,0,0,0,0,0,0,0
"Means.2Moderate11 midnightblue.txt",0.351350224,0.101492575,0.036203716,0,-0.006633489,0.145387332,0,0,0,0,0.031846064,0,0,0.042837205,0.16105166,0,0,0,0,0,0,0.04780123,0,0,0.029787048,0,-0.006633489,-0.006633489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108126064,0,0,0,0,0,0,0,0,0,0,0,0.042837205,0,0,0,0,0,0,0.014719735,0,0,0,0,0,0,0.031846064,0,0,0,0,0,0,0,0,0,0,0.031846064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014719735,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.3Extreme11 midnightblue.txt",0.11144474,0.049285196,0.02971559,0,-0.007594776,0.01052267,0,0,0,0,-0.007405969,0,0,0.037310366,-0.01046897,0,0,0,0,0,0,-0.02090336,0,0,0.021732477,0,-0.007594776,-0.007594776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056879972,0,0,0,0,0,0,0,0,0,0,0,0.037310366,0,0,0,0,0,0,-0.010663421,0,0,0,0,0,0,-0.007405969,0,0,0,0,0,0,0,0,0,0,-0.007405969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010663421,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.4Recovery11 midnightblue.txt",0.26829566,0.094875908,0.068091729,0,0.012998616,0.086977193,0,0,0,0,0.011137714,0,0,0.055093113,0.100607501,0,0,0,0,0,0,0.025345977,0,0,0.020211732,0,0.012998616,0.012998616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081877292,0,0,0,0,0,0,0,0,0,0,0,0.055093113,0,0,0,0,0,0,0.035929515,0,0,0,0,0,0,0.011137714,0,0,0,0,0,0,0,0,0,0,0.011137714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035929515,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.5ControlA11 midnightblue.txt",0.171339742,0.040601861,0.014654492,0,-0.010157716,0.046183192,0,0,0,0,0.045027921,0,0,0.024812208,0.056774825,0,0,0,0,0,0,0.013596797,0,0,0.01471456,0,-0.010157716,-0.010157716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050759577,0,0,0,0,0,0,0,0,0,0,0,0.024812208,0,0,0,0,0,0,0.021476218,0,0,0,0,0,0,0.045027921,0,0,0,0,0,0,0,0,0,0,0.045027921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021476218,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.2Moderate12 pink.txt",-0.462943469,-0.207061411,-0.196583682,-0.238878118,-0.003054757,-0.004409833,-0.067783944,-0.051803155,-0.119587099,-0.04444983,-0.121180927,0,0,-0.193528925,-0.073643868,0,0,-0.007174827,-0.054857912,0,0,-0.017032765,-0.030183956,0,-0.010453506,0,-0.073941826,-0.051803155,-0.069433258,-0.118902926,-0.004165197,0,-0.007174827,0,-0.102651806,0,0,-0.003054757,-0.064325294,0,-0.010477729,0,0,0,0,0,0,0,0,0,-0.004165197,-0.010663386,0,0,-0.010477729,0,0,0,0,-0.067783944,0,0,0,0,0,0,0,0,0,-0.060056443,0,0,0,0,0,0,0,-0.048262045,0,0,-0.064325294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048262045,0,0
