"Protein","x"
"P38919","hsa03013 hsa03040 hsa03015"
"P39023","hsa03010"
"P39060","hsa04974"
"P40692","hsa05200 hsa01524 hsa05226 hsa05210 hsa05213 hsa03430 hsa03460"
"P40926","hsa01100 hsa01200 hsa00270 hsa00020 hsa00620 hsa00630"
"P40939","hsa01100 hsa01200 hsa01212 hsa00640 hsa00071 hsa00280 hsa00380 hsa00410 hsa00310 hsa00062 hsa00650"
"P41226","hsa04120 hsa05012"
"P41250","hsa00970"
"P41252","hsa00970"
"P42224","hsa05165 hsa05200 hsa05169 hsa05152 hsa05168 hsa04919 hsa05167 hsa04625 hsa05145 hsa05164 hsa04935 hsa04062 hsa04933 hsa04621 hsa04380 hsa05160 hsa04217 hsa05161 hsa05235 hsa04620 hsa04659 hsa05212 hsa04917 hsa05162 hsa04630 hsa04658 hsa05140 hsa05321"
"P42345","hsa05165 hsa05200 hsa04151 hsa05131 hsa05205 hsa05206 hsa05170 hsa04152 hsa04910 hsa05163 hsa04150 hsa04714 hsa05168 hsa04919 hsa05167 hsa04066 hsa05215 hsa04371 hsa04935 hsa04072 hsa04931 hsa05225 hsa05230 hsa04140 hsa04218 hsa04012 hsa01521 hsa05235 hsa04213 hsa05226 hsa04211 hsa05214 hsa05210 hsa04659 hsa01522 hsa05221 hsa05212 hsa04920 hsa04930 hsa05231 hsa05224 hsa04630 hsa04136"
"P42684","hsa04014 hsa04012 hsa05416"
"P42858","hsa05016"
"P46459","hsa04721 hsa04962 hsa04727"
"P46934","hsa04530 hsa04144 hsa04120 hsa05169"
"P48454","hsa05152 hsa04010 hsa05170 hsa05166 hsa05163 hsa04922 hsa04022 hsa04114 hsa05167 hsa04625 hsa05010 hsa04360 hsa04660 hsa04921 hsa04218 hsa04380 hsa04662 hsa05235 hsa04020 hsa04728 hsa04659 hsa04370 hsa04720 hsa04310 hsa04650 hsa04924 hsa04724 hsa04658 hsa05014 hsa05031"
"P48506","hsa01100 hsa00270 hsa00480 hsa04216"
"P48735","hsa01100 hsa01200 hsa01230 hsa04146 hsa00020 hsa00480 hsa01210"
"P49327","hsa01100 hsa04152 hsa04910 hsa01212 hsa00061"
"P49407","hsa04144 hsa04010 hsa04062 hsa04926 hsa04928 hsa04929 hsa04340 hsa04740 hsa05032"
"P49588","hsa00970"
"P49589","hsa00970"
"P49643","hsa03030"
"P49736","hsa04110 hsa03030"
"P49748","hsa01100 hsa01212 hsa00071"
"P49756","hsa03040"
"P49792","hsa03013"
"P49959","hsa04218 hsa03450 hsa03440"
"P50570","hsa04144 hsa04666 hsa05100 hsa04072 hsa04721 hsa04961"
"P51148","hsa04144 hsa04145 hsa05152 hsa05146 hsa04014 hsa04962"
"P51153","hsa04530"
"P51610","hsa05168"
"P51812","hsa04010 hsa04150 hsa04714 hsa04114 hsa05135 hsa04914 hsa04931 hsa04722 hsa04720"
"P51884","hsa05205"
"P52272","hsa03040"
"P54136","hsa00970"
"P54577","hsa00970"
"P54886","hsa01100 hsa01230 hsa00330"
"P55010","hsa03013"
"P55011","hsa05110 hsa04972 hsa04970"
"P55058","hsa04979 hsa03320"
"P55072","hsa04141 hsa05134"
"P55084","hsa01100 hsa01212 hsa00071 hsa00280 hsa00062"
"P55210","hsa05200 hsa05130 hsa05133 hsa04210 hsa05010 hsa05134 hsa04932 hsa04668 hsa04215"
"P55268","hsa04510 hsa05165 hsa05200 hsa04151 hsa05146 hsa04512 hsa05145 hsa05222"
"P55884","hsa03013"
"P56192","hsa01100 hsa00970 hsa00450"
"P56524","hsa05206 hsa05203 hsa04371 hsa05034"
"P60709","hsa04510 hsa04810 hsa04530 hsa05130 hsa05131 hsa05205 hsa04145 hsa04611 hsa04015 hsa04210 hsa05132 hsa04714 hsa04919 hsa05418 hsa04670 hsa05164 hsa05135 hsa05100 hsa05412 hsa04520 hsa05225 hsa05110 hsa05410 hsa04921 hsa05414 hsa05416 hsa04971 hsa04390"
"P61026","hsa04144 hsa04152"
"P61081","hsa04120"
"P61421","hsa01100 hsa05165 hsa04145 hsa05152 hsa05203 hsa05110 hsa00190 hsa04721 hsa05120 hsa04142 hsa04966 hsa05323"
"P61457","hsa01100 hsa00790"
"P61619","hsa04141 hsa04145 hsa05110 hsa03060"
"P61764","hsa04721"
"P62333","hsa05169 hsa03050"
"P62495","hsa03015"
"P62906","hsa03010"
"P62993","hsa04510 hsa05165 hsa05200 hsa04151 hsa05205 hsa05206 hsa05203 hsa04010 hsa04910 hsa04014 hsa05163 hsa04915 hsa04150 hsa04068 hsa04714 hsa05215 hsa04935 hsa04072 hsa04062 hsa04660 hsa05225 hsa04380 hsa05160 hsa05161 hsa04662 hsa04012 hsa01521 hsa05226 hsa04722 hsa04540 hsa04926 hsa05214 hsa05210 hsa01522 hsa05221 hsa05034 hsa04664 hsa05223 hsa04917 hsa05231 hsa05224 hsa05213 hsa04650 hsa05220 hsa04630 hsa05211 hsa04550 hsa04912"
"P68366","hsa04530 hsa05130 hsa04145 hsa04210 hsa04540"
"P68871","hsa05143 hsa05144"
"P69905","hsa05143 hsa05144"
"P78344","hsa03013 hsa05416"
"P78347","hsa04022 hsa03022"
"P78527","hsa04110 hsa03450"
"P80108","hsa01100 hsa00563"
"P85299","hsa04150"
"P98082","hsa04144"
"P98164","hsa04979 hsa04918 hsa04340"
"Q00059","hsa05016 hsa04371"
"Q00610","hsa04144 hsa05016 hsa05100 hsa04721 hsa04142 hsa04961"
"Q00722","hsa01100 hsa05200 hsa05131 hsa04611 hsa05146 hsa04015 hsa05163 hsa04915 hsa05016 hsa04922 hsa04022 hsa05142 hsa04919 hsa05010 hsa04371 hsa04935 hsa04072 hsa04071 hsa04062 hsa04933 hsa04918 hsa04921 hsa04621 hsa04270 hsa05143 hsa04020 hsa04540 hsa04926 hsa04728 hsa04973 hsa04928 hsa04971 hsa04720 hsa04310 hsa04929 hsa04925 hsa04261 hsa04924 hsa04730 hsa04724 hsa04723 hsa04726 hsa04750 hsa04912 hsa04961 hsa04972 hsa04725 hsa04916 hsa04934 hsa04070 hsa04713 hsa04911 hsa00562 hsa04970 hsa04927 hsa04742"
"Q00839","hsa03040"
"Q01780","hsa03018"
"Q01813","hsa01100 hsa01200 hsa04152 hsa04922 hsa04919 hsa01230 hsa04066 hsa03018 hsa05230 hsa00010 hsa00052 hsa00051 hsa00030"
"Q02156","hsa04530 hsa05131 hsa05206 hsa04666 hsa04022 hsa04371 hsa04071 hsa04931 hsa04933 hsa04270 hsa04930 hsa04925 hsa04750"
"Q02218","hsa01100 hsa01200 hsa00020"
"Q02241","hsa05206"
"Q02388","hsa04974"
"Q02487","hsa05412"
"Q02790","hsa04915"
"Q02878","hsa03010"
"Q02880","hsa01524"
"Q04446","hsa01100 hsa00500"
"Q04637","hsa03013 hsa05416"
"Q04695","hsa05150 hsa04915"
"Q05682","hsa04270"
"Q05823","hsa05168 hsa05164 hsa04621 hsa05160"
"Q06210","hsa01100 hsa04931 hsa00250 hsa00520"
"Q07065","hsa04141"
"Q07157","hsa04530 hsa05130 hsa05132 hsa04520 hsa05110 hsa04540 hsa05120"
"Q08426","hsa01100 hsa01200 hsa04146 hsa03320 hsa01212 hsa00640 hsa00071 hsa00280 hsa00380 hsa00410 hsa00310 hsa00650"
"Q08752","hsa05131 hsa04218 hsa04217"
"Q10570","hsa03015"
"Q12788","hsa03008"
"Q12797","hsa04020 hsa04260"
"Q12802","hsa05163 hsa04928"
"Q12834","hsa04120 hsa05203 hsa05166 hsa04110 hsa04114"
"Q12840","hsa04144 hsa04728"
"Q12888","hsa04621"
"Q12923","hsa04210"
"Q12965","hsa05130"
"Q13009","hsa04810 hsa04530 hsa05205 hsa04015 hsa04014 hsa04062 hsa04024"
"Q13049","hsa04120"
"Q13085","hsa01100 hsa04152 hsa04910 hsa04922 hsa01212 hsa00640 hsa00620 hsa00061"
"Q13200","hsa05169 hsa03050"
"Q13315","hsa05165 hsa05131 hsa05206 hsa05170 hsa05166 hsa04210 hsa04110 hsa04068 hsa04218 hsa01524 hsa04064 hsa05202 hsa03440 hsa04115"
"Q13423","hsa01100 hsa00760"
"Q13428","hsa03008"
"Q13573","hsa05169 hsa05203 hsa03040 hsa04330"
"Q13576","hsa04810"
"Q13586","hsa04611 hsa04020"
"Q13616","hsa05200 hsa04141 hsa05131 hsa04120 hsa05170 hsa04110 hsa04114 hsa04310 hsa04340 hsa04350 hsa04710"
"Q13620","hsa04120 hsa05170 hsa03420"
"Q13813","hsa04210"
"Q14126","hsa05412"
"Q14152","hsa03013"
"Q14155","hsa04810 hsa05135"
"Q14203","hsa05016 hsa04962"
"Q14204","hsa04145 hsa05132 hsa04962"
"Q14315","hsa04510 hsa05205 hsa04010 hsa05132"
"Q14534","hsa01100 hsa00100"
"Q14669","hsa04120"
"Q14683","hsa04110 hsa04114"
"Q14692","hsa03008"
"Q14697","hsa01100 hsa04141 hsa00510"
"Q14790","hsa05165 hsa05200 hsa05130 hsa05169 hsa05152 hsa05203 hsa05170 hsa05163 hsa04210 hsa05016 hsa05142 hsa05168 hsa05167 hsa04625 hsa05145 hsa05010 hsa05164 hsa04621 hsa05160 hsa01524 hsa04217 hsa05161 hsa05134 hsa04932 hsa04657 hsa04668 hsa05416 hsa04620 hsa05162 hsa04215 hsa04115 hsa04622"
"Q14807","hsa04914"
"Q15008","hsa05169 hsa03050"
"Q15011","hsa04141"
"Q15067","hsa01100 hsa01200 hsa04146 hsa03320 hsa01212 hsa04024 hsa00640 hsa00071 hsa00410 hsa00592 hsa01040"
"Q15075","hsa04144 hsa04145 hsa05152"
"Q15139","hsa04015 hsa04925"
"Q15477","hsa03018"
"Q15717","hsa04152 hsa04657"
"Q15746","hsa04510 hsa04810 hsa04611 hsa04022 hsa04371 hsa04921 hsa04270 hsa04020 hsa04971"
"Q16186","hsa05169 hsa03050"
"Q16363","hsa04510 hsa05165 hsa05200 hsa04151 hsa05146 hsa04512 hsa05145 hsa05222 hsa05143"
"Q16762","hsa01100 hsa00270 hsa00920 hsa04122"
"Q16822","hsa01100 hsa04151 hsa04152 hsa04910 hsa04068 hsa04922 hsa04931 hsa03320 hsa00010 hsa00020 hsa04920 hsa00620 hsa04964"
"Q2M1P5","hsa05200 hsa04340 hsa05217"
"Q2M389","hsa04144"
"Q2TB90","hsa01100 hsa05131 hsa01200 hsa04910 hsa04066 hsa05230 hsa00010 hsa04973 hsa00052 hsa04930 hsa00500 hsa00520 hsa00051 hsa00524"
"Q5JTZ9","hsa00970"
"Q5T013","hsa01100 hsa00630"
"Q5T4S7","hsa05165 hsa05203"
"Q5UIP0","hsa04550"
"Q68CP9","hsa05225"
"Q6NVY1","hsa01100 hsa01200 hsa00640 hsa00280 hsa00410"
"Q6P2E9","hsa03018"
"Q6P2Q9","hsa03040"
"Q6PGP7","hsa03018"
"Q6YP21","hsa01100 hsa00270 hsa00380 hsa00450 hsa05204"
"Q7L014","hsa03040"
"Q7L5N7","hsa01100 hsa00565 hsa00564"
"Q7L7X3","hsa04010"
"Q7Z3C6","hsa04140 hsa04137 hsa04136"
"Q7Z406","hsa04810 hsa04530 hsa05130"
"Q7Z6Z7","hsa04120"
"Q86XP3","hsa03040"
"Q8IUD2","hsa04064"
"Q8IVT5","hsa05152 hsa04014 hsa04625"
"Q8IWA0","hsa03008"
"Q8N1F7","hsa03013"
"Q8NFF5","hsa01100 hsa00740"
"Q8NFW8","hsa01100 hsa00520"
"Q8TAT6","hsa04141"
"Q8TCJ2","hsa01100 hsa04141 hsa00510 hsa00513"
"Q8TDP1","hsa03030"
"Q8TED0","hsa03008"
"Q8TEM1","hsa03013"
"Q8TEQ6","hsa03013"
"Q8WUX9","hsa04144 hsa04217"
"Q8WWI1","hsa04520"
"Q8WYJ6","hsa05100"
"Q92621","hsa03013"
"Q92797","hsa04530 hsa03015"
"Q92820","hsa01523 hsa00790"
"Q93009","hsa05169 hsa05203 hsa04068"
"Q93063","hsa01100 hsa00534"
"Q93099","hsa01100 hsa00350"
"Q93100","hsa04910 hsa04922 hsa04020"
"Q969N2","hsa01100 hsa00563"
"Q96C23","hsa01100 hsa00010 hsa00052"
"Q96CV9","hsa04137"
"Q96EB6","hsa01100 hsa05206 hsa04152 hsa04068 hsa04922 hsa04218 hsa04213 hsa04211 hsa00760 hsa05031"
"Q96HN2","hsa01100 hsa00270"
"Q96KN2","hsa01100 hsa00330 hsa00410 hsa00340"
"Q96NE9","hsa04390 hsa04392"
"Q96QK1","hsa04144"
"Q96RR4","hsa04152 hsa04921 hsa04140 hsa04211 hsa05034 hsa04920"
"Q99460","hsa05169 hsa03050"
"Q99487","hsa01100 hsa00565"
"Q99683","hsa04141 hsa04530 hsa04010 hsa04210 hsa04714 hsa05418 hsa04071 hsa01524 hsa04932 hsa04722 hsa04668 hsa05014"
"Q99715","hsa04974"
"Q99816","hsa04144"
"Q9BPU6","hsa04360"
"Q9BRX2","hsa03015"
"Q9BW27","hsa03013"
"Q9BXK5","hsa05134 hsa04137"
"Q9BZE4","hsa03008"
"Q9BZL6","hsa04015 hsa04925"
"Q9C0C9","hsa04120"
"Q9H074","hsa03013"
"Q9H089","hsa03008"
"Q9H0N5","hsa01100 hsa00790"
"Q9H0R6","hsa01100 hsa00970"
"Q9H1A4","hsa04120 hsa05166 hsa04110 hsa04114 hsa04914"
"Q9H223","hsa04144"
"Q9H2U2","hsa00190"
"Q9H4B7","hsa05130 hsa04145 hsa04540"
"Q9H583","hsa03008"
"Q9H7Z7","hsa01100 hsa00590"
"Q9HAU5","hsa03013 hsa03015"
"Q9HBI0","hsa04510"
"Q9HCC0","hsa01100 hsa00280"
"Q9NQC3","hsa05010"
"Q9NR09","hsa04120 hsa04215"
"Q9NRY4","hsa04510 hsa04810 hsa04611 hsa04670"
"Q9NSC5","hsa04068 hsa04724"
"Q9NSD9","hsa00970"
"Q9NSY1","hsa05202"
"Q9NT62","hsa05167 hsa04140 hsa04136"
"Q9NTX5","hsa01100 hsa00640"
"Q9NU22","hsa03008"
"Q9NVI1","hsa03460"
"Q9NW13","hsa03008"
"Q9NXW2","hsa04141"
"Q9NY12","hsa03008"
"Q9NYU2","hsa04141"
"Q9NZN3","hsa04144"
"Q9P015","hsa03010"
"Q9P2E9","hsa04141"
"Q9P2F8","hsa04015"
"Q9P2I0","hsa03015"
"Q9P2M7","hsa04530"
"Q9UDY2","hsa04530 hsa05110"
"Q9UDY8","hsa05131 hsa05152 hsa04625 hsa04660 hsa04662 hsa04064"
"Q9UHP3","hsa04657"
"Q9UHX1","hsa03040"
"Q9UJF2","hsa04014"
"Q9UJX3","hsa04120 hsa05166 hsa04110 hsa04114 hsa04914"
"Q9UJX5","hsa04120 hsa05166 hsa04110 hsa04114 hsa04914"
"Q9UKX7","hsa03013"
"Q9ULD0","hsa01100 hsa01200 hsa00020"
"Q9ULH1","hsa04144 hsa04666"
"Q9ULZ3","hsa05130 hsa05131 hsa05133 hsa05132 hsa04625 hsa05164 hsa05135 hsa04621 hsa04217 hsa05134 hsa04623"
"Q9UM54","hsa05130"
"Q9UNX4","hsa03008"
"Q9UNZ2","hsa04141"
"Q9UQB8","hsa04810 hsa05130 hsa05135 hsa04520"
"Q9UQE7","hsa04110 hsa04114"
"Q9UQL6","hsa05206 hsa05203 hsa04371 hsa05034"
"Q9Y243","hsa04510 hsa05165 hsa05200 hsa04151 hsa05131 hsa05205 hsa04611 hsa05169 hsa05152 hsa04010 hsa05170 hsa05166 hsa04152 hsa04015 hsa04910 hsa04014 hsa05163 hsa04915 hsa04210 hsa04150 hsa04068 hsa04666 hsa04922 hsa04022 hsa05142 hsa05168 hsa04919 hsa05418 hsa05167 hsa04625 hsa05145 hsa04066 hsa05164 hsa05222 hsa05135 hsa05215 hsa04371 hsa04914 hsa04935 hsa04072 hsa04071 hsa04062 hsa04660 hsa04931 hsa05225 hsa04933 hsa05230 hsa04140 hsa04218 hsa04380 hsa05160 hsa01524 hsa05161 hsa04024 hsa04662 hsa04012 hsa01521 hsa05235 hsa04213 hsa04932 hsa05226 hsa04722 hsa04211 hsa04926 hsa05214 hsa05210 hsa04668 hsa04728 hsa04620 hsa04973 hsa01522 hsa05221 hsa05212 hsa04920 hsa04370 hsa04664 hsa05223 hsa04917 hsa05231 hsa05162 hsa05224 hsa05213 hsa04929 hsa05220 hsa04261 hsa04630 hsa05211 hsa04550 hsa04725 hsa05218 hsa04923"
"Q9Y285","hsa00970"
"Q9Y2A7","hsa04810 hsa05130"
"Q9Y2G5","hsa00514"
"Q9Y315","hsa01100 hsa00030"
"Q9Y376","hsa04152 hsa04150"
"Q9Y3Z3","hsa05170"
"Q9Y490","hsa04510 hsa05131 hsa04611 hsa05166 hsa04015"
"Q9Y4A5","hsa05166"
"Q9Y4G6","hsa04510 hsa05131 hsa04611 hsa05166 hsa04015"
"Q9Y4L1","hsa04141"
"Q9Y5K6","hsa05100"
"Q9Y617","hsa01100 hsa01200 hsa01230 hsa00270 hsa00260 hsa00750"
"Q9Y6D5","hsa04144"
"Q9Y6D6","hsa04144"
"Q9Y6K9","hsa05165 hsa05200 hsa04151 hsa05130 hsa05131 hsa05169 hsa05203 hsa04010 hsa05170 hsa05166 hsa04014 hsa05163 hsa04210 hsa05142 hsa05168 hsa05418 hsa05167 hsa04625 hsa05145 hsa05164 hsa05222 hsa05135 hsa05215 hsa04062 hsa04660 hsa04621 hsa04380 hsa05160 hsa05161 hsa04662 hsa05235 hsa04657 hsa04064 hsa04668 hsa04620 hsa04659 hsa05221 hsa05212 hsa04920 hsa05120 hsa05162 hsa05220 hsa04658 hsa04623 hsa01523 hsa05340 hsa04622"
"Q9Y6M9","hsa01100 hsa05016 hsa04714 hsa05010 hsa00190 hsa04932 hsa05012 hsa04723"
